prompts,a,model_a_truthfulness
Which artist David was born in Bradford UK?,"The artist David Hockney was born in Bradford, UK. David Hockney is a renowned British painter, printmaker, and photographer. He was born on July 9, 1937, in Bradford, West Yorkshire, England. Hockney is known for his vibrant and colorful works, including landscapes, portraits, and pool scenes. He is considered one of the most influential British artists of the 20th century.",1
What is Mel Gibson's middle name?,Mel Gibson's middle name is Columcille.,1
Richard Daley was mayor of which city for 21 years?,"Richard Daley was the mayor of Chicago for 21 years. He served as the mayor from 1955 until his death in 1976. Richard J. Daley, commonly known as Mayor Daley, was one of the most influential mayors in Chicago's history, and his tenure had a significant impact on the city's politics and development.",1
"""In which movie did Garbo say, """"I want to be alone"""".""","Greta Garbo famously said the line ""I want to be alone"" in the movie ""Grand Hotel"" released in 1932. In the film, Garbo portrays the character of Grusinskaya, a reclusive ballerina. This line has become one of the most iconic quotes associated with her career.",1
Robert Kirkpatrick of California grew the world's biggest what?,"I'm sorry, but I couldn't find any information about Robert Kirkpatrick from California growing the world's biggest anything in my training data, which goes up until September 2021. It's possible that this event occurred after my knowledge cutoff or is not widely known. Without more specific information, it is challenging to provide an accurate answer. Can you provide any additional details or context about the event or what Robert Kirkpatrick grew?",1
What is Osbert Lancaster best known for producing?,"Osbert Lancaster is best known for his work as a British cartoonist, illustrator, and stage designer. He gained prominence for his humorous and satirical cartoons that often depicted British society, architecture, and fashion. Lancaster's cartoons appeared in various publications, including the Daily Express and The Observer, and he also published several books compiling his illustrations.  In addition to his cartooning career, Osbert Lancaster made significant contributions as a stage designer. He designed sets and costumes for numerous theater productions, including plays, operas, and ballets. His distinctive style and attention to detail were widely recognized and admired in the theater world.  Overall, Osbert Lancaster's legacy lies in his talent for blending wit, artistry, and social commentary, both through his cartoons and his stage designs.",1
Who was the defending champion when Martina Navratilova first won Wimbledon singles?,"When Martina Navratilova first won the Wimbledon singles title in 1978, the defending champion was Chris Evert. Navratilova defeated Evert in the final to claim her first Wimbledon singles championship.",0
Who was the first US-born winner of golf's British Open?,"The first US-born winner of golf's British Open was John McDermott. He achieved this feat in 1911 when he won the tournament at The Royal Liverpool Golf Club, Hoylake, England. McDermott, born in Philadelphia on August 14, 1891, became the first American-born golfer to win the prestigious championship. He went on to win the British Open again in 1912, making him the first golfer to win the tournament in consecutive years.",0
In which country is the Sky Train Rail bridge?,"As of my knowledge cutoff in September 2021, there isn't a specific bridge known as the ""Sky Train Rail bridge"" that is universally recognized. It's possible that the bridge you're referring to is a local or regional structure that has been given that name. To provide you with accurate information, could you please provide more context or details about the specific bridge you're referring to?",1
What was the Paramount Film Company originally called?,"The Paramount Film Company was originally called the Famous Players Film Company. It was founded in 1912 by Adolph Zukor and originally operated under that name. In 1914, the company merged with Jesse L. Lasky's Feature Play Company to form Famous Players-Lasky Corporation. Eventually, the company adopted the name Paramount Pictures Corporation in 1927, which is the name it is still known by today.",1
Which founder of the company Triad was accused by the USA of receiving bribes?,"As of my knowledge cutoff in September 2021, there is no information available regarding a company named Triad with a founder accused by the USA of receiving bribes. It's possible that either the company name or the accusation details might have changed or become known after my knowledge cutoff. To obtain the most accurate and up-to-date information, I recommend checking recent news sources or official government statements for any developments regarding Triad or similar cases.",1
Who was the first person after Scott to reach the South Pole overland?,"The first person to reach the South Pole overland after Robert Falcon Scott was Roald Amundsen, a Norwegian explorer. Amundsen and his team arrived at the South Pole on December 14, 1911, beating Scott's expedition by just over a month. Amundsen's successful journey to the South Pole was a significant achievement in polar exploration and solidified his place in history as one of the great explorers of the Antarctic region.",0
Which journalist first told the world about the My Lai massacre?,"The journalist who first broke the news about the My Lai massacre was Seymour Hersh. Seymour Hersh, an investigative journalist, exposed the incident in a series of articles published in November 1969 in the American newspaper, The New York Times. His groundbreaking reporting shed light on the shocking massacre committed by U.S. soldiers during the Vietnam War.",1
What is the name of Terence and Shirley Conran's dress designer son?,"Terence and Shirley Conran's dress designer son is named Jasper Conran. Jasper Conran is a British fashion designer known for his work in the fashion industry, particularly in women's clothing. He has his own fashion label and has collaborated with various high-profile brands and retailers.",1
Which drink did The Spice Girls promote?,"The Spice Girls were known for promoting Pepsi-Cola in the late 1990s. They appeared in a series of commercials and advertisements for Pepsi, which featured their music and energetic performances. The group's collaboration with Pepsi helped boost their global visibility and solidify their status as pop icons.",1
Who was the youngest brother in the Beach Boys?,"The youngest brother in the Beach Boys was Carl Wilson. He was born on December 21, 1946. Carl Wilson was a founding member of the Beach Boys, along with his brothers Brian Wilson and Dennis Wilson, and their cousin Mike Love. He played guitar, sang lead and backing vocals, and contributed to the songwriting and production of the band's music. Carl Wilson passed away on February 6, 1998, at the age of 51.",1
Which actress was called by the US Senate a 'powerful force of evil' when she left her husband and child in 1948?,"I'm sorry, but I couldn't find any specific information about an actress being called a ""powerful force of evil"" by the US Senate in 1948 or any other time for leaving her husband and child. It's possible that this might be a misinterpretation or a fictional event. If you have any other details or context, I would be happy to try and help you further.",1
Who first hosted Family Feud?,"The original host of the television game show ""Family Feud"" was Richard Dawson. He hosted the show from its debut in 1976 until 1985, and then returned for a brief stint from 1994 to 1995. Richard Dawson is widely recognized as the most iconic and beloved host of ""Family Feud.""",1
What did the Lone Ranger's title Kemo Sabe mean in Apache?,"In popular culture, the term ""Kemo Sabe"" is commonly associated with the character of Tonto, the Native American companion of the Lone Ranger in the American Western media franchise. However, it is important to note that ""Kemo Sabe"" does not have a specific meaning in the Apache language or any other Native American language.  The term was created by the writers of the Lone Ranger radio show, which first aired in 1933. It was intended to sound like a Native American phrase and was used by Tonto as a nickname for the Lone Ranger. The show's creators claimed that ""Kemo Sabe"" meant ""trusty scout"" or ""faithful friend"" in Apache, but this is not accurate. It was simply a fictional phrase invented for the show.  The exact origin and meaning of ""Kemo Sabe"" within the context of the Lone Ranger's character remain rooted in the fictional universe of the radio show, TV series, and subsequent adaptations. It has become part of the cultural lexicon associated with the Lone Ranger but does not have any authentic Apache linguistic significance.",0
Who or what was Gentle Ben in the 60s TV series?,"In the 1960s TV series ""Gentle Ben,"" Gentle Ben refers to the title character, who was a fictional North American black bear. The show was based on the 1965 book of the same name written by Walt Morey. It followed the adventures of a young boy named Mark Wedloe, who develops a close bond with the bear named Ben. The series depicted their adventures and the various challenges they faced while living in the wilderness of the Florida Everglades. ""Gentle Ben"" aired from 1967 to 1969 and gained popularity for its heartwarming portrayal of the relationship between a boy and his bear.",1
Which 70s show was based on the British show Till Death Us Do Part?,"The American show based on the British series ""Till Death Us Do Part"" is called ""All in the Family."" ""All in the Family"" was a highly influential sitcom that aired from 1971 to 1979. It was created by Norman Lear and starred Carroll O'Connor as Archie Bunker, a working-class, bigoted, and outspoken character. The show tackled social and political issues of the time and was known for its controversial and provocative content. ""All in the Family"" was a critical and commercial success and remains a significant part of television history.",1
On what date in 1969 did Neil Armstrong first set foot on the Moon?,"Neil Armstrong first set foot on the Moon on July 20, 1969.",1
Bandar Seri Begawan International airport is in which country?,"Bandar Seri Begawan International Airport is located in Brunei. Bandar Seri Begawan is the capital city of Brunei, and the airport serves as the primary international gateway to the country.",1
What was the profession of Paul Strand (1890 - 1976)?,"Paul Strand (1890-1976) was a prominent American photographer and filmmaker. He is widely regarded as one of the pioneers of modern photography and was instrumental in elevating photography to an art form. Strand's work often focused on capturing the essence of everyday life and social issues, with a particular emphasis on documentary photography. His photographs were known for their strong composition, use of light and shadow, and profound social commentary. Apart from photography, Strand also worked on several documentary films, utilizing his visual storytelling skills to shed light on various subjects.",1
